date,team,site,o:team,line,total
20191022,Clippers,home,Lakers,1.5,224
20191022,Lakers,away,Clippers,-1.5,224
20191022,Raptors,home,Pelicans,-7,231.5
20191022,Pelicans,away,Raptors,7,231.5
20191023,Heat,home,Grizzlies,-8,214
20191023,Grizzlies,away,Heat,8,214
20191023,Hornets,home,Bulls,3.5,219
20191023,Bulls,away,Hornets,-3.5,219
20191023,Jazz,home,Thunder,-9,221.5
20191023,Thunder,away,Jazz,9,221.5
20191023,Magic,home,Cavaliers,-9.5,211.5
20191023,Cavaliers,away,Magic,9.5,211.5
20191023,Mavericks,home,Wizards,-8.5,220
20191023,Wizards,away,Mavericks,8.5,220
20191023,Nets,home,Timberwolves,-3.5,230
20191023,Timberwolves,away,Nets,3.5,230
20191023,Pacers,home,Pistons,-7,211
20191023,Pistons,away,Pacers,7,211
20191023,Seventysixers,home,Celtics,-6,211.5
20191023,Celtics,away,Seventysixers,6,211.5
20191023,Spurs,home,Knicks,-10,214.5
20191023,Knicks,away,Spurs,10,214.5
20191023,Suns,home,Kings,0,232.5
20191023,Kings,away,Suns,0,232.5
20191023,Trailblazers,home,Nuggets,1,217
20191023,Nuggets,away,Trailblazers,-1,217
20191024,Pistons,home,Hawks,-1,221.5
20191024,Hawks,away,Pistons,1,221.5
20191024,Rockets,home,Bucks,-1.5,230
20191024,Bucks,away,Rockets,1.5,230
20191024,Warriors,home,Clippers,2,227.5
20191024,Clippers,away,Warriors,-2,227.5
20191025,Celtics,home,Raptors,-3,216.5
20191025,Raptors,away,Celtics,3,216.5
20191025,Grizzlies,home,Bulls,2,222.5
20191025,Bulls,away,Grizzlies,-2,222.5
20191025,Hornets,home,Timberwolves,5.5,226.5
20191025,Timberwolves,away,Hornets,-5.5,226.5
20191025,Kings,home,Trailblazers,2,227.5
20191025,Trailblazers,away,Kings,-2,227.5
20191025,Lakers,home,Jazz,-3.5,216
20191025,Jazz,away,Lakers,3.5,216
20191025,Nets,home,Knicks,-8,225.5
20191025,Knicks,away,Nets,8,225.5
20191025,Nuggets,home,Suns,-11,220
20191025,Suns,away,Nuggets,11,220
20191025,Pelicans,home,Mavericks,-2,228
20191025,Mavericks,away,Pelicans,2,228
20191025,Thunder,home,Wizards,-8,218.5
20191025,Wizards,away,Thunder,8,218.5
20191026,Bucks,home,Heat,-10.5,226.5
20191026,Heat,away,Bucks,10.5,226.5
20191026,Bulls,home,Raptors,3,219.5
20191026,Raptors,away,Bulls,-3,219.5
20191026,Cavaliers,home,Pacers,5,213.5
20191026,Pacers,away,Cavaliers,-5,213.5
20191026,Hawks,home,Magic,2.5,216.5
20191026,Magic,away,Hawks,-2.5,216.5
20191026,Jazz,home,Kings,-9.5,229
20191026,Kings,away,Jazz,9.5,229
20191026,Knicks,home,Celtics,5.5,214
20191026,Celtics,away,Knicks,-5.5,214
20191026,Pistons,home,Seventysixers,5,215
20191026,Seventysixers,away,Pistons,-5,215
20191026,Rockets,home,Pelicans,-10.5,239
20191026,Pelicans,away,Rockets,10.5,239
20191026,Spurs,home,Wizards,-11.5,220
20191026,Wizards,away,Spurs,11.5,220
20191026,Suns,home,Clippers,10,226
20191026,Clippers,away,Suns,-10,226
20191027,Grizzlies,home,Nets,4,224
20191027,Nets,away,Grizzlies,-4,224
20191027,Lakers,home,Hornets,-13,216.5
20191027,Hornets,away,Lakers,13,216.5
20191027,Mavericks,home,Trailblazers,-1.5,222
