Team,vs PG,vs SG,vs SF,vs PF,vs C
ATL,29,20,30,22,19
BOS,8,3,1,6,4
BRO,30,7,7,29,29
CHA,19,22,21,24,10
CHI,21,30,27,28,26
CLE,22,18,29,27,9
DAL,28,4,22,10,24
DEN,25,10,12,26,18
DET,20,2,23,13,17
GSW,12,12,10,14,15
HOU,4,14,17,4,13
IND,3,23,2,18,25
LAC,15,28,26,16,23
LAL,23,6,20,25,16
MEM,26,19,9,21,3
MIA,6,9,11,12,8
MIL,10,13,16,2,30
MIN,17,27,4,3,28
NOP,16,25,19,23,12
NYK,18,11,28,9,20
OKL,11,21,15,15,2
ORL,24,24,24,19,22
PHI,2,17,6,7,7
PHX,27,29,25,30,21
POR,1,15,13,11,6
SAC,13,26,18,17,27
SAS,14,1,8,5,5
TOR,5,8,3,8,14
UTA,9,5,5,1,1
WAS,7,16,14,20,11
