TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Indiana Pacers,82,6.5,6.00%,0.8,5.2,1.8,5.1,35.80%,38.10%,13.20%,10.10%,11.90%,1.70%,38.90%,93.1
Miami Heat,82,6.5,6.00%,0.83,5.4,2,5.2,38.80%,41.00%,11.00%,9.50%,10.20%,1.90%,40.30%,79.3
Sacramento Kings,82,6.9,6.40%,0.84,5.7,2.1,5.5,38.80%,41.30%,12.60%,10.30%,12.30%,2.80%,40.00%,75.9
Charlotte Hornets,82,6.4,6.00%,0.92,5.9,2.3,5.6,41.10%,44.50%,9.90%,5.30%,9.50%,1.90%,43.10%,31
Toronto Raptors,82,6.9,6.50%,0.85,5.9,2,5.4,37.30%,40.20%,14.80%,10.20%,13.50%,2.60%,40.90%,69
Minnesota Timberwolves,82,7.6,7.10%,0.8,6,2.3,6,37.50%,39.80%,11.90%,10.80%,11.30%,2.10%,39.20%,96.6
LA Clippers,82,7.8,7.30%,0.78,6.1,2.3,6.2,36.80%,38.70%,11.40%,10.80%,10.80%,1.70%,38.40%,100
Memphis Grizzlies,82,7.5,7.30%,0.83,6.2,2.3,6,37.80%,40.50%,13.60%,9.90%,13.20%,2.90%,40.40%,82.8
Atlanta Hawks,82,7.3,6.60%,0.87,6.4,2.4,5.9,40.70%,44.40%,9.90%,9.90%,9.70%,1.50%,41.00%,55.2
New York Knicks,82,7.1,6.40%,0.91,6.5,2.5,5.9,42.10%,45.20%,10.50%,8.20%,9.80%,2.60%,43.00%,34.5
Detroit Pistons,82,7,6.70%,0.93,6.5,2.6,5.8,44.20%,46.30%,11.70%,7.80%,10.80%,2.60%,45.20%,13.8
San Antonio Spurs,82,8.5,8.00%,0.81,6.9,2.7,6.7,39.90%,41.60%,10.40%,13.40%,9.60%,2.60%,39.00%,89.7
Dallas Mavericks,82,8.1,7.90%,0.86,7,2.5,6.1,40.50%,43.80%,12.90%,14.20%,11.20%,2.70%,40.50%,58.6
New Orleans Pelicans,82,8.1,7.30%,0.86,7,2.6,6.6,39.40%,42.80%,10.60%,10.00%,10.20%,2.40%,40.10%,62.1
Cleveland Cavaliers,82,8.7,8.00%,0.82,7.1,2.8,7.5,37.40%,40.00%,9.10%,6.30%,9.10%,1.50%,39.00%,86.2
Chicago Bulls,82,8.5,7.90%,0.85,7.3,2.9,7.1,40.10%,42.80%,9.90%,9.20%,9.30%,2.90%,40.10%,65.5
Orlando Magic,82,7.8,7.20%,0.94,7.3,2.6,6.3,41.90%,45.00%,14.70%,8.00%,13.90%,3.60%,44.00%,10.3
Milwaukee Bucks,82,8,7.50%,0.93,7.5,2.7,6.4,42.60%,45.80%,13.90%,8.80%,13.40%,3.20%,44.40%,20.7
Brooklyn Nets,82,8.1,7.10%,0.93,7.5,2.8,6.5,43.10%,45.90%,12.20%,9.00%,11.60%,2.10%,44.60%,24.1
Portland Trail Blazers,82,8.6,7.80%,0.89,7.6,2.8,6.9,40.40%,43.40%,13.50%,7.80%,13.00%,2.60%,43.40%,44.8
Boston Celtics,82,8.3,7.60%,0.92,7.7,2.8,6.7,42.00%,44.70%,12.40%,8.50%,11.30%,1.90%,44.40%,27.6
Los Angeles Lakers,82,8,7.20%,0.97,7.7,2.8,6.5,42.50%,45.50%,13.90%,6.90%,12.40%,2.90%,45.70%,3.4
Washington Wizards,82,8.6,7.80%,0.9,7.8,3.1,7.2,42.50%,45.40%,9.80%,8.80%,9.10%,2.40%,42.60%,41.4
Utah Jazz,82,8.9,8.70%,0.88,7.8,2.8,7.2,39.10%,41.20%,14.00%,7.40%,13.30%,2.70%,42.60%,51.7
Phoenix Suns,82,8.7,7.70%,0.9,7.9,2.7,6.7,40.30%,42.90%,15.80%,10.50%,14.00%,2.90%,43.30%,37.9
Denver Nuggets,82,8.7,8.00%,0.93,8.1,3.1,7.3,42.40%,45.60%,10.60%,7.40%,9.70%,2.40%,43.80%,17.2
Philadelphia 76ers,82,8.6,7.70%,1,8.6,3.2,6.9,46.80%,49.70%,13.00%,9.80%,11.60%,3.00%,47.30%,0
Golden State Warriors,82,10.2,9.00%,0.84,8.6,3.1,8,38.40%,41.40%,12.20%,11.40%,11.00%,2.30%,39.90%,72.4
Oklahoma City Thunder,82,10,9.20%,0.88,8.8,3.3,8.4,39.40%,42.10%,12.10%,7.30%,11.30%,2.80%,41.70%,48.3
Houston Rockets,82,9.8,8.70%,0.96,9.3,3.4,7.9,42.80%,46.40%,13.00%,8.40%,11.60%,2.60%,44.90%,6.9
