TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Milwaukee Bucks,73,4.9,4.20%,0.78,3.8,1.3,3.9,33.30%,38.80%,10.90%,11.80%,10.10%,2.50%,34.70%,100
Toronto Raptors,72,5.6,4.90%,0.81,4.5,1.5,4,38.80%,41.30%,14.40%,16.60%,12.90%,2.00%,39.20%,96.6
Cleveland Cavaliers,65,5.9,5.40%,0.92,5.4,2,5.1,40.10%,46.40%,9.10%,7.30%,7.50%,2.60%,40.80%,41.4
Detroit Pistons,66,5.8,5.30%,1,5.8,2.1,4.7,44.30%,48.90%,13.60%,8.40%,12.00%,2.60%,45.70%,10.3
Miami Heat,73,6.4,5.80%,0.82,5.3,1.7,5,34.00%,39.40%,12.80%,9.60%,12.00%,1.30%,37.70%,93.1
Brooklyn Nets,72,6.5,5.70%,0.85,5.5,2,5.3,38.50%,42.20%,11.50%,9.40%,10.30%,2.10%,40.00%,82.8
Charlotte Hornets,65,7.3,6.70%,0.86,6.3,2.4,5.9,40.10%,43.40%,11.10%,10.30%,11.10%,2.30%,41.00%,75.9
Orlando Magic,73,6,5.50%,0.95,5.7,2.1,4.7,44.00%,47.80%,14.00%,10.30%,13.10%,3.20%,44.80%,20.7
San Antonio Spurs,71,7,6.20%,0.88,6.2,2.2,5.7,37.60%,43.20%,13.00%,8.40%,11.80%,3.00%,39.70%,69
Philadelphia 76ers,73,6.9,6.30%,0.89,6.1,2.2,5.6,39.60%,42.80%,14.50%,7.50%,13.50%,3.20%,42.80%,58.6
Indiana Pacers,73,6.1,5.50%,1,6.2,2.2,5,44.10%,49.60%,12.30%,7.80%,11.20%,2.20%,46.10%,6.9
Portland Trail Blazers,74,6.9,6.00%,0.89,6.1,2.2,5.6,38.70%,44.80%,12.40%,9.20%,11.20%,2.90%,40.40%,55.2
Denver Nuggets,73,7.2,6.50%,0.87,6.2,2.2,5.7,39.10%,43.70%,12.40%,10.10%,12.00%,2.70%,40.50%,72.4
Chicago Bulls,65,7.6,6.90%,0.93,7.1,2.5,6,42.40%,47.80%,13.30%,11.90%,11.90%,3.00%,42.70%,34.5
Minnesota Timberwolves,64,7.7,6.60%,0.95,7.3,2.7,6.3,42.50%,47.10%,12.40%,8.70%,11.20%,2.40%,44.10%,24.1
New Orleans Pelicans,72,7.1,6.10%,0.91,6.5,2.2,5.8,38.10%,43.80%,12.50%,8.00%,11.10%,2.50%,41.00%,48.3
Memphis Grizzlies,73,6.9,6.00%,0.93,6.4,2.2,5.6,39.20%,44.60%,12.70%,7.80%,12.30%,1.80%,42.70%,31
Utah Jazz,72,7.8,7.10%,0.86,6.7,2.5,6.5,38.50%,43.10%,10.00%,9.10%,8.90%,2.50%,39.30%,79.3
LA Clippers,72,8,7.00%,0.83,6.7,2.3,6.4,36.80%,41.50%,13.60%,9.80%,13.10%,3.10%,38.30%,86.2
Oklahoma City Thunder,72,7.6,6.80%,0.89,6.7,2.5,6,41.20%,45.50%,11.00%,11.70%,10.60%,2.00%,41.30%,65.5
Boston Celtics,72,7.7,6.90%,0.89,6.9,2.4,6.2,39.70%,43.20%,14.40%,10.20%,12.60%,4.10%,41.10%,62.1
New York Knicks,66,8.2,7.40%,0.92,7.6,2.6,6.7,39.30%,45.00%,12.00%,8.00%,10.90%,2.00%,41.70%,37.9
Golden State Warriors,65,8.2,7.30%,0.94,7.7,2.7,6.6,40.70%,45.70%,12.90%,9.70%,11.80%,3.00%,42.20%,27.6
Atlanta Hawks,67,7.7,6.60%,0.99,7.6,2.6,6,43.10%,48.50%,15.40%,9.00%,13.50%,2.10%,46.00%,13.8
Los Angeles Lakers,71,8.1,7.30%,0.9,7.3,2.6,6.3,41.10%,45.10%,12.50%,11.10%,10.10%,1.60%,42.10%,51.7
Washington Wizards,72,7.4,6.40%,1.01,7.5,2.6,5.9,44.20%,48.20%,15.80%,7.90%,14.30%,3.00%,47.50%,3.4
Sacramento Kings,72,7.1,6.40%,1.06,7.5,2.7,5.7,47.00%,53.20%,13.80%,9.20%,11.50%,3.30%,48.00%,0
Dallas Mavericks,75,8.1,7.30%,0.92,7.5,2.8,7.1,39.80%,44.20%,10.10%,5.40%,10.00%,2.80%,41.70%,44.8
Houston Rockets,72,9.6,8.20%,0.83,7.9,2.8,7.5,36.90%,41.20%,12.30%,11.30%,10.90%,1.90%,39.10%,89.7
Phoenix Suns,73,9,8.00%,0.98,8.8,3.1,7.4,42.60%,47.70%,14.70%,7.80%,13.30%,4.60%,44.30%,17.2
