TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Brooklyn Nets,82,6.1,5.30%,0.81,5,1.9,5.1,36.80%,39.70%,10.60%,8.20%,10.20%,2.40%,38.80%,93.1
Toronto Raptors,82,5.9,5.20%,0.9,5.3,1.9,4.7,41.10%,44.80%,12.00%,10.10%,8.90%,2.10%,42.40%,37.9
Detroit Pistons,82,5.7,5.30%,0.93,5.3,2,4.6,42.30%,46.20%,13.00%,9.60%,11.30%,3.20%,43.70%,20.7
Atlanta Hawks,81,6.8,5.90%,0.81,5.5,2,5.6,35.50%,38.70%,12.10%,8.10%,10.30%,1.80%,38.10%,96.6
Milwaukee Bucks,82,6.6,5.70%,0.84,5.5,2.1,5.4,39.60%,44.10%,9.60%,11.50%,8.30%,2.20%,38.80%,79.3
Indiana Pacers,82,6.7,6.10%,0.83,5.6,2,5.5,36.00%,39.70%,11.90%,9.00%,10.80%,1.80%,38.50%,89.7
San Antonio Spurs,82,6.5,5.90%,0.87,5.7,2.1,5.6,38.30%,42.70%,9.90%,7.10%,8.80%,2.40%,39.20%,55.2
Miami Heat,82,6.2,5.60%,0.93,5.7,1.9,4.8,38.80%,44.10%,15.30%,8.80%,14.30%,2.20%,42.60%,24.1
New Orleans Pelicans,82,7.2,6.20%,0.8,5.8,2,5.9,34.00%,38.30%,12.50%,8.10%,11.20%,3.10%,36.60%,100
Memphis Grizzlies,82,6.9,6.30%,0.85,5.8,1.9,5.5,35.20%,38.90%,13.90%,8.70%,13.20%,2.50%,39.30%,75.9
Minnesota Timberwolves,82,7,6.10%,0.84,5.9,2.2,5.7,37.70%,42.80%,9.40%,10.10%,8.40%,1.60%,38.30%,86.2
Orlando Magic,82,6.3,5.70%,0.95,5.9,2.2,5.2,42.00%,46.90%,11.50%,8.20%,10.30%,2.30%,43.50%,13.8
Charlotte Hornets,82,7,6.30%,0.85,6,2.3,5.8,39.30%,43.10%,10.20%,9.00%,9.40%,1.90%,40.30%,72.4
Cleveland Cavaliers,82,6.1,5.70%,1.01,6.1,2.2,5,44.60%,50.40%,14.00%,8.20%,12.60%,3.60%,46.10%,0
Portland Trail Blazers,82,6.8,6.10%,0.91,6.1,2.1,5.3,39.30%,42.60%,16.10%,7.90%,14.80%,2.50%,43.70%,34.5
Phoenix Suns,82,7,6.10%,0.93,6.6,2.4,5.7,41.70%,46.30%,12.80%,8.00%,10.60%,2.10%,43.60%,17.2
LA Clippers,82,7.7,6.70%,0.88,6.7,2.3,6.2,37.00%,41.30%,13.30%,8.60%,11.10%,2.20%,40.30%,51.7
Denver Nuggets,82,7.8,7.20%,0.9,7,2.5,6.5,37.60%,42.90%,12.50%,6.10%,11.50%,2.00%,41.20%,44.8
Chicago Bulls,82,7.2,6.40%,0.99,7.1,2.8,6,46.20%,50.60%,10.60%,9.20%,9.50%,3.40%,45.10%,3.4
Dallas Mavericks,82,8.2,7.40%,0.87,7.1,2.7,7,38.40%,42.80%,9.20%,7.60%,8.00%,1.60%,39.90%,65.5
Boston Celtics,82,8.5,7.60%,0.84,7.2,2.6,7,37.70%,41.30%,11.50%,9.70%,10.70%,2.90%,39.10%,82.8
Washington Wizards,82,8.1,7.10%,0.89,7.2,2.5,6.6,38.00%,43.10%,13.10%,8.40%,11.70%,2.60%,40.80%,48.3
Utah Jazz,82,8.2,7.30%,0.9,7.3,2.8,6.7,41.10%,45.50%,10.60%,9.90%,8.80%,3.00%,41.30%,41.4
Los Angeles Lakers,82,8.2,7.10%,0.91,7.5,2.7,6.7,40.10%,45.10%,12.90%,8.60%,12.00%,2.80%,41.90%,31
New York Knicks,82,8.2,7.30%,0.96,7.9,2.9,6.9,42.50%,46.50%,12.30%,6.50%,10.80%,2.70%,44.80%,10.3
Oklahoma City Thunder,81,9.4,8.20%,0.87,8.1,3,7.6,39.20%,43.70%,12.00%,10.00%,10.80%,2.90%,40.20%,62.1
Sacramento Kings,82,8.5,7.30%,0.98,8.3,2.9,7.1,41.40%,47.90%,12.60%,6.60%,11.30%,2.70%,43.90%,6.9
Philadelphia 76ers,82,9.2,8.00%,0.91,8.4,3.1,7.9,39.60%,43.60%,11.20%,5.50%,10.50%,2.40%,42.50%,27.6
Golden State Warriors,82,11.7,10.20%,0.87,10.1,3.7,9.7,38.50%,42.60%,10.40%,8.10%,9.40%,1.60%,40.60%,58.6
Houston Rockets,82,12,10.80%,0.86,10.4,3.8,9.7,39.50%,42.60%,12.00%,9.90%,10.20%,2.30%,40.70%,69
