TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
New York Knicks,30,4.7,4.40%,0.79,3.7,1.4,3.9,34.70%,39.80%,7.70%,9.90%,7.00%,0.70%,35.90%,96.6
Charlotte Hornets,28,5.6,5.00%,0.86,4.8,1.8,4.3,41.30%,45.00%,12.10%,12.70%,10.80%,1.90%,40.80%,72.4
Toronto Raptors,28,6.8,6.10%,0.73,5,1.7,4.9,35.30%,37.10%,15.20%,16.20%,13.10%,2.60%,36.60%,100
Chicago Bulls,27,6.4,5.70%,0.82,5.3,2.1,5.1,40.90%,43.10%,10.40%,12.70%,8.70%,2.30%,40.50%,89.7
Memphis Grizzlies,24,6.6,6.00%,0.94,6.2,2.3,5.3,42.20%,44.90%,12.60%,8.80%,11.30%,1.90%,44.70%,37.9
Minnesota Timberwolves,29,6.1,5.30%,0.89,5.4,2,4.7,41.90%,44.50%,12.50%,13.10%,10.80%,3.40%,41.50%,58.6
Oklahoma City Thunder,28,6.6,5.80%,0.84,5.6,2.1,5.5,38.30%,41.20%,10.80%,8.10%,9.70%,2.20%,40.50%,82.8
Cleveland Cavaliers,29,6.4,5.80%,0.87,5.6,2,5.3,37.30%,40.50%,12.80%,8.60%,12.80%,3.20%,40.10%,65.5
New Orleans Pelicans,28,5.6,5.10%,1.05,5.8,2.2,4.7,46.20%,53.40%,9.60%,7.10%,9.60%,1.30%,46.80%,6.9
San Antonio Spurs,27,7.1,6.40%,0.85,6.1,2.1,5.8,36.90%,41.70%,12.50%,7.80%,10.40%,2.60%,39.60%,79.3
Utah Jazz,29,6.6,6.00%,0.86,5.7,2.1,5.6,38.00%,44.50%,9.40%,8.90%,9.40%,3.70%,37.70%,69
Golden State Warriors,29,6.6,5.70%,0.89,5.9,1.9,5,38.20%,44.40%,14.60%,12.50%,12.50%,2.10%,40.10%,62.1
Los Angeles Lakers,29,6.9,6.20%,0.85,5.9,2.3,5.2,43.40%,46.40%,9.50%,15.10%,8.50%,1.00%,41.70%,75.9
Philadelphia 76ers,29,6.4,5.60%,0.94,6,2.3,5.1,45.00%,48.70%,12.40%,9.70%,9.70%,2.70%,44.90%,41.4
Boston Celtics,28,7,6.40%,0.89,6.3,2.3,5.4,42.70%,47.00%,13.80%,11.20%,12.80%,1.50%,43.40%,51.7
Milwaukee Bucks,28,7.1,6.30%,0.89,6.3,2.5,5.8,42.90%,47.20%,8.10%,11.60%,7.60%,2.00%,41.40%,55.2
Denver Nuggets,28,7.9,7.20%,0.8,6.3,2.3,5.9,38.00%,41.60%,11.80%,14.50%,10.00%,1.80%,38.20%,93.1
Orlando Magic,29,5.4,5.00%,1.12,6.1,2.4,4.8,51.40%,58.70%,9.50%,6.30%,9.50%,3.20%,50.00%,0
Indiana Pacers,29,6.8,6.00%,0.91,6.2,2,5.2,38.00%,42.30%,16.20%,9.60%,14.60%,1.50%,43.40%,48.3
Portland Trail Blazers,28,6.4,5.80%,1.02,6.5,2.3,5,46.10%,52.50%,15.20%,8.40%,13.50%,2.80%,48.30%,13.8
Detroit Pistons,28,6.9,6.20%,0.96,6.6,2.1,5.1,42.00%,47.20%,16.10%,10.90%,14.10%,1.60%,45.80%,34.5
Houston Rockets,28,8.4,7.40%,0.83,7,2.7,6.6,41.30%,43.50%,9.70%,14.00%,9.30%,2.10%,39.80%,86.2
Dallas Mavericks,28,7.3,6.60%,0.97,7,2.6,6.1,42.40%,47.70%,11.80%,6.90%,11.80%,3.40%,43.30%,31
Washington Wizards,26,7.7,6.70%,1.01,7.7,2.7,6.1,43.40%,47.80%,14.00%,8.00%,12.00%,1.50%,47.00%,17.2
Miami Heat,28,7.4,6.60%,0.99,7.3,2.6,5.9,44.60%,50.60%,11.70%,10.20%,11.70%,2.40%,45.10%,20.7
LA Clippers,30,7,6.50%,0.98,6.8,2.6,5.9,44.10%,48.90%,10.00%,9.00%,10.50%,3.80%,42.90%,24.1
Brooklyn Nets,30,7.4,6.40%,0.97,7.2,2.6,5.9,44.30%,48.90%,14.00%,9.90%,13.10%,3.20%,45.00%,27.6
Atlanta Hawks,28,7.3,6.50%,1.08,7.8,2.7,5.8,46.30%,52.20%,14.80%,7.40%,13.80%,2.00%,49.80%,3.4
Sacramento Kings,27,8.8,7.80%,0.92,8.1,3,7.3,41.80%,46.20%,10.90%,9.20%,10.50%,2.50%,42.40%,44.8
Phoenix Suns,27,9.4,8.60%,1.02,9.6,3.8,8.1,46.60%,50.20%,12.60%,4.70%,10.30%,4.00%,48.60%,10.3
