slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
griffbl01,Blake Griffin,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,WIN,2404,13,23,5,13,13,14,0,8,5,3,1,4,4,36.7
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,2233,10,23,3,8,4,6,9,18,3,2,4,3,4,28.1
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,2255,11,24,4,13,8,10,0,6,6,0,2,2,2,25.4
greenja01,JaMychal Green,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,LOSS,1346,8,11,1,2,7,8,5,6,0,1,0,1,2,23.6
irvinky01,Kyrie Irving,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1973,7,16,0,5,11,13,0,5,6,2,1,1,0,23.2
drumman01,Andre Drummond,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,WIN,2499,8,13,0,1,4,5,9,12,0,3,1,3,3,23.1
oubreke01,Kelly Oubre,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,1783,9,17,4,7,4,6,3,8,3,2,1,3,1,22.8
harremo01,Montrezl Harrell,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,LOSS,2024,8,14,0,0,5,6,3,6,6,1,4,2,4,22.3
winslju01,Justise Winslow,MIAMI HEAT,HOME,MEMPHIS GRIZZLIES,WIN,2019,10,16,4,4,2,2,0,7,4,1,0,2,2,21.9
davisan02,Anthony Davis,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2168,10,22,2,5,8,9,4,10,2,0,1,3,5,21.1
gordoaa01,Aaron Gordon,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2220,7,14,1,5,13,13,2,10,2,0,1,6,3,20.3
jokicni01,Nikola Jokic,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,2028,8,15,1,4,6,7,1,9,4,0,1,2,0,20.2
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,LOSS,2092,7,15,3,5,5,6,2,0,7,3,0,2,3,20.0
holidjr01,Jrue Holiday,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2393,12,22,0,4,1,1,2,4,7,0,2,3,1,19.9
belinma01,Marco Belinelli,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1342,8,10,4,6,4,4,0,0,1,0,0,1,2,19.1
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,CHARLOTTE HORNETS,WIN,1828,6,15,1,4,8,9,2,5,4,3,1,2,2,19.1
aytonde01,Deandre Ayton,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,1775,9,18,0,0,4,6,4,9,0,0,3,0,2,19.0
goberru01,Rudy Gobert,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,2379,5,6,0,0,5,9,5,11,8,1,2,5,5,19.0
randlju01,Julius Randle,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2034,7,13,0,1,8,10,2,9,3,0,0,2,3,17.9
schrode01,Dennis Schroder,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1528,8,17,0,1,3,4,1,0,6,4,0,0,3,17.6
batumni01,Nicolas Batum,CHARLOTTE HORNETS,AWAY,SACRAMENTO KINGS,LOSS,1640,4,6,3,4,2,3,2,7,5,2,1,2,2,16.9
richajo01,Josh Richardson,MIAMI HEAT,HOME,MEMPHIS GRIZZLIES,WIN,2134,4,11,1,5,5,6,2,4,9,2,0,1,2,16.6
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1969,8,14,0,1,1,1,1,8,3,1,0,0,1,16.2
rosste01,Terrence Ross,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1849,8,20,5,14,4,4,0,4,2,1,0,1,2,16.0
naderab01,Abdel Nader,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1019,6,6,1,1,2,2,0,2,2,0,1,0,0,15.9
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1964,9,24,1,2,5,5,2,8,7,2,0,4,4,15.9
jonesty01,Tyus Jones,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1704,4,9,2,3,4,4,0,1,6,1,1,0,0,15.5
adamsst01,Steven Adams,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,2070,3,5,0,0,6,8,2,7,2,2,1,0,3,15.3
walkeke02,Kemba Walker,CHARLOTTE HORNETS,AWAY,SACRAMENTO KINGS,LOSS,2027,11,24,3,12,6,8,0,1,4,1,0,6,2,15.1
jacksja02,Jaren Jackson,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,LOSS,1669,5,8,1,2,2,2,0,5,2,3,2,1,2,14.9
fournev01,Evan Fournier,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2326,8,15,2,7,0,0,1,2,5,0,0,0,2,14.7
caulewi01,Willie Cauley-Stein,SACRAMENTO KINGS,HOME,CHARLOTTE HORNETS,WIN,1905,6,11,0,0,0,0,4,8,4,2,1,1,5,14.4
bullore01,Reggie Bullock,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,WIN,2096,6,14,5,10,0,0,2,5,4,1,0,1,3,14.1
georgpa01,Paul George,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,2058,5,17,2,7,6,6,0,11,4,2,0,2,1,13.8
horfoal01,Al Horford,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1813,5,10,0,2,0,0,2,9,4,4,1,2,2,13.8
paytoel01,Elfrid Payton,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1595,3,6,2,2,2,2,1,2,6,3,1,2,1,13.8
willilo02,Lou Williams,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,LOSS,1690,7,14,2,2,6,6,0,2,3,0,0,4,0,13.7
morrima03,Marcus Morris,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1883,6,12,3,6,2,4,2,6,1,0,0,0,2,13.3
bogdabo01,Bogdan Bogdanovic,SACRAMENTO KINGS,HOME,CHARLOTTE HORNETS,WIN,1747,9,17,4,7,0,0,1,5,2,0,0,4,1,12.9
gallida01,Danilo Gallinari,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,LOSS,2260,6,15,3,9,8,8,0,6,2,1,0,5,3,12.9
gasolma01,Marc Gasol,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,LOSS,2036,7,14,1,5,0,0,0,5,5,1,2,1,4,12.8
beaslma01,Malik Beasley,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,2404,8,14,5,9,0,0,0,1,1,0,0,2,2,12.6
grantje01,Jerami Grant,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1828,4,7,2,4,2,2,0,4,3,0,2,0,2,12.6
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,MEMPHIS GRIZZLIES,WIN,2278,3,6,0,0,5,7,4,6,2,2,1,3,1,12.5
korveky01,Kyle Korver,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,1549,6,11,4,8,0,0,1,4,0,0,1,0,2,12.5
holmeri01,Richaun Holmes,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,1105,6,9,0,0,2,3,2,5,1,0,0,0,3,12.1
lavinza01,Zach LaVine,CHICAGO BULLS,AWAY,UTAH JAZZ,LOSS,1760,7,21,2,7,5,6,0,3,1,3,1,1,3,11.8
pattepa01,Patrick Patterson,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1355,5,7,3,3,0,0,1,3,2,0,0,1,1,11.7
hutchch01,Chandler Hutchison,CHICAGO BULLS,AWAY,UTAH JAZZ,LOSS,1509,4,7,2,3,1,1,1,6,2,1,0,1,0,11.6
dunnkr01,Kris Dunn,CHICAGO BULLS,AWAY,UTAH JAZZ,LOSS,1822,4,11,0,1,2,2,1,4,8,3,2,2,6,11.4
okogijo01,Josh Okogie,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,2503,6,14,1,8,4,5,0,5,2,1,0,1,2,11.3
hieldbu01,Buddy Hield,SACRAMENTO KINGS,HOME,CHARLOTTE HORNETS,WIN,1827,8,21,5,12,0,0,2,2,3,0,0,2,1,11.2
onealro01,Royce O'Neale,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,2195,3,8,2,4,0,0,0,11,4,1,2,0,3,10.9
morrimo01,Monte Morris,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,1763,5,11,1,4,1,1,1,3,5,1,0,1,2,10.6
markkla01,Lauri Markkanen,CHICAGO BULLS,AWAY,UTAH JAZZ,LOSS,2040,7,17,1,6,1,1,1,4,1,0,2,0,1,10.5
poeltja01,Jakob Poeltl,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1113,2,4,0,0,2,2,5,5,1,0,1,0,0,10.4
inglejo01,Joe Ingles,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,1853,6,14,4,10,0,0,0,2,4,0,0,1,2,10.2
birchkh01,Khem Birch,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1051,2,2,0,0,0,0,2,8,1,0,4,0,2,9.9
saricda01,Dario Saric,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,974,4,7,2,3,4,4,1,3,0,0,0,1,4,9.7
vucevni01,Nikola Vucevic,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1829,7,18,0,4,2,4,2,11,5,0,0,4,0,9.6
wallaty01,Tyrone Wallace,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,LOSS,817,4,5,0,0,2,6,0,2,3,1,0,1,0,9.2
parkeja01,Jabari Parker,CHICAGO BULLS,AWAY,UTAH JAZZ,LOSS,1126,5,10,1,2,0,0,0,7,2,0,0,0,1,9.1
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2094,7,19,0,0,4,6,2,4,4,1,1,4,2,9.0
harrito02,Tobias Harris,LOS ANGELES CLIPPERS,HOME,DETROIT PISTONS,LOSS,2209,4,9,2,2,1,2,0,10,2,2,1,3,3,8.8
jacksjo02,Josh Jackson,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,1878,6,18,1,7,2,2,2,2,5,1,1,2,3,8.8
kiddgmi01,Michael Kidd-Gilchrist,CHARLOTTE HORNETS,AWAY,SACRAMENTO KINGS,LOSS,1546,5,10,1,1,0,0,3,4,0,0,3,1,4,8.8
millspa01,Paul Millsap,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,1912,4,12,0,1,2,5,4,7,2,2,1,2,1,8.6
plumlma01,Mason Plumlee,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,979,2,4,0,0,2,2,2,2,3,0,3,0,4,8.6
favorde01,Derrick Favors,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,1696,4,8,0,0,0,0,2,6,0,2,1,1,1,8.5
seldewa01,Wayne Selden,CHICAGO BULLS,AWAY,UTAH JAZZ,LOSS,1579,5,7,1,2,0,0,1,1,2,0,0,2,0,8.5
fergute01,Terrance Ferguson,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1781,3,5,2,3,0,0,1,3,1,0,1,0,1,8.3
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1683,6,16,1,4,3,4,2,4,1,1,1,2,4,8.2
jonesde02,Derrick Jones,MIAMI HEAT,HOME,MEMPHIS GRIZZLIES,WIN,1071,4,10,1,2,2,4,2,3,0,2,1,1,2,8.0
okoboel01,Elie Okobo,PHOENIX SUNS,HOME,DENVER NUGGETS,WIN,935,1,3,0,0,3,4,0,3,5,1,1,1,0,8.0
