slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
hardeja01,James Harden,HOUSTON ROCKETS,HOME,ORLANDO MAGIC,WIN,2229,14,27,4,12,8,9,1,10,6,1,3,5,3,31.1
doncilu01,Luka Doncic,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,LOSS,2153,14,24,3,9,4,6,2,10,10,0,0,3,3,30.2
georgpa01,Paul George,OKLAHOMA CITY THUNDER,HOME,MILWAUKEE BUCKS,WIN,2259,12,21,8,12,4,6,2,11,3,3,0,5,3,28.9
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,WASHINGTON WIZARDS,WIN,1977,12,21,0,2,6,6,3,6,6,1,2,2,3,27.4
leonaka01,Kawhi Leonard,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,WIN,2088,10,23,3,8,10,11,1,9,3,0,0,0,1,25.6
wiggian01,Andrew Wiggins,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,2279,13,23,3,8,6,7,0,3,4,3,0,4,2,25.6
satorto01,Tomas Satoransky,WASHINGTON WIZARDS,AWAY,SAN ANTONIO SPURS,LOSS,2205,8,13,2,4,3,4,3,6,8,1,0,1,1,23.8
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,UTAH JAZZ,LOSS,2168,6,10,3,4,7,8,1,5,7,0,3,2,2,23.4
harremo01,Montrezl Harrell,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1763,11,13,0,0,3,4,5,2,2,0,0,2,3,22.2
zubaciv01,Ivica Zubac,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2099,9,16,0,0,6,7,5,11,0,0,4,2,6,21.2
ingrabr01,Brandon Ingram,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1897,9,11,1,1,3,6,0,2,4,2,2,1,6,20.1
mitchdo01,Donovan Mitchell,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,2178,10,22,2,6,7,10,1,3,5,0,0,1,1,20.1
hardati02,Tim Hardaway,NEW YORK KNICKS,HOME,MIAMI HEAT,LOSS,1848,7,16,2,7,6,6,2,3,5,2,0,0,4,19.8
lowryky01,Kyle Lowry,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,WIN,2235,5,14,5,10,4,4,2,3,9,1,2,1,4,19.6
clarkjo01,Jordan Clarkson,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,1315,8,11,1,3,1,1,1,6,6,0,0,1,0,19.2
rubiori01,Ricky Rubio,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,1790,8,14,1,5,1,1,0,4,8,2,0,0,3,19.0
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1828,6,7,5,6,2,3,0,4,2,1,2,1,3,18.9
goberru01,Rudy Gobert,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,1925,7,8,0,0,3,6,2,2,4,2,3,2,3,18.7
beverpa01,Patrick Beverley,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,2155,5,10,4,5,2,2,2,8,8,1,1,2,4,18.5
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2080,8,22,3,5,8,12,4,14,4,1,0,4,4,18.4
gilgesh01,Shai Gilgeous-Alexander,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1874,5,9,0,1,7,7,2,2,5,2,0,1,3,18.0
markkla01,Lauri Markkanen,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,2335,6,15,4,7,5,5,1,14,1,1,0,0,4,17.9
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2050,8,15,3,7,3,4,0,4,6,1,0,2,2,17.9
vucevni01,Nikola Vucevic,ORLANDO MAGIC,AWAY,HOUSTON ROCKETS,LOSS,2026,8,19,0,2,3,4,8,9,5,2,1,4,4,17.4
stephla01,Lance Stephenson,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1315,7,10,3,5,0,0,1,2,4,1,0,0,2,17.1
whitede01,Derrick White,SAN ANTONIO SPURS,HOME,WASHINGTON WIZARDS,WIN,1833,6,7,0,0,4,4,0,5,4,1,0,2,0,16.8
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,SAN ANTONIO SPURS,LOSS,2340,8,20,3,8,2,3,2,2,7,4,0,3,3,16.5
caldwke01,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2175,9,17,4,9,2,2,3,3,0,2,0,3,3,16.5
