slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
irvinky01,Kyrie Irving,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,WIN,2158,14,21,4,6,6,9,1,6,11,0,1,3,3,34.4
russeda01,D'Angelo Russell,BROOKLYN NETS,AWAY,ORLANDO MAGIC,WIN,2002,16,25,8,12,0,0,1,1,7,1,0,1,1,34.4
goberru01,Rudy Gobert,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,1598,8,10,0,0,3,3,3,12,5,2,2,3,3,23.6
griffbl01,Blake Griffin,DETROIT PISTONS,HOME,MIAMI HEAT,WIN,2237,10,24,3,9,9,11,2,9,9,1,0,5,3,23.6
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,1983,10,19,3,11,5,5,0,5,4,1,1,1,2,22.9
gordoaa01,Aaron Gordon,ORLANDO MAGIC,HOME,BROOKLYN NETS,LOSS,1835,9,13,3,4,2,2,1,3,5,0,0,1,1,21.2
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS PELICANS,WIN,1937,8,12,1,3,3,3,2,4,3,2,0,0,1,21.1
smartma01,Marcus Smart,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,WIN,1742,7,9,6,8,0,0,0,6,3,3,1,2,3,20.9
davisan02,Anthony Davis,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2140,9,17,0,0,9,12,2,5,2,0,1,1,4,19.9
gilgesh01,Shai Gilgeous-Alexander,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,LOSS,2550,7,17,0,3,10,10,1,2,5,3,0,2,2,19.9
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS PELICANS,WIN,2195,8,20,2,9,6,8,3,2,8,1,0,2,0,19.7
duranke01,Kevin Durant,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,2124,8,13,2,7,6,9,0,7,5,2,2,5,4,19.3
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,1573,9,15,2,5,4,5,0,2,4,2,0,2,4,18.5
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,LOSS,2149,9,18,4,9,4,4,0,0,4,0,0,0,4,18.2
rosede01,Derrick Rose,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,1601,6,16,0,3,11,11,1,2,6,0,0,1,2,17.9
holidjr01,Jrue Holiday,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2219,9,14,0,4,2,2,0,2,6,1,0,2,1,17.2
vucevni01,Nikola Vucevic,ORLANDO MAGIC,HOME,BROOKLYN NETS,LOSS,1966,7,20,1,3,1,1,6,11,6,0,1,0,0,17.2
harrito02,Tobias Harris,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,LOSS,2143,7,18,3,8,11,12,0,9,2,0,0,4,3,16.7
onealro01,Royce O'Neale,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,2155,6,8,4,5,0,0,0,11,5,1,1,3,4,16.7
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2185,8,20,0,0,9,12,5,4,4,0,2,4,5,15.9
horfoal01,Al Horford,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,WIN,1856,8,10,2,3,0,0,0,3,1,0,0,0,1,15.4
gayru01,Rudy Gay,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2036,9,14,0,1,4,5,1,3,5,1,1,5,5,15.2
wadedw01,Dwyane Wade,MIAMI HEAT,AWAY,DETROIT PISTONS,LOSS,1709,10,14,0,2,0,1,0,4,8,0,0,5,3,14.4
gibsota01,Taj Gibson,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,1905,5,9,0,0,4,6,4,7,3,0,2,1,5,14.3
johnsty01,Tyler Johnson,MIAMI HEAT,AWAY,DETROIT PISTONS,LOSS,2082,5,12,3,8,3,4,1,4,3,0,1,0,0,13.9
kennalu01,Luke Kennard,DETROIT PISTONS,HOME,MIAMI HEAT,WIN,2052,8,17,4,8,2,2,1,2,3,1,0,3,2,13.9
payneca01,Cameron Payne,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,1452,5,9,0,2,4,4,0,4,3,1,1,0,2,13.9
laymaja01,Jake Layman,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS PELICANS,WIN,1109,8,14,4,9,0,0,1,0,0,0,0,0,1,13.7
nurkiju01,Jusuf Nurkic,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS PELICANS,WIN,1577,6,13,0,0,3,5,5,7,5,0,2,2,6,13.6
greenja01,JaMychal Green,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,LOSS,1379,4,6,2,2,2,2,2,2,1,1,2,1,0,13.5
jacksja02,Jaren Jackson,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,LOSS,1593,8,16,2,3,5,7,3,1,1,0,1,3,4,13.4
fournev01,Evan Fournier,ORLANDO MAGIC,HOME,BROOKLYN NETS,LOSS,2305,6,16,1,2,3,3,2,6,3,4,0,2,3,13.3
randlju01,Julius Randle,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2218,8,16,1,3,2,2,1,8,4,1,2,4,5,13.3
zizican01,Ante Zizic,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,2064,7,12,0,0,1,2,2,8,0,1,1,0,3,13.3
johnsst04,Stanley Johnson,DETROIT PISTONS,HOME,MIAMI HEAT,WIN,1393,5,7,2,3,0,0,0,6,2,1,1,0,2,13.2
teaguje01,Jeff Teague,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,LOSS,1799,4,8,1,3,6,8,0,2,6,1,0,2,2,13.2
belinma01,Marco Belinelli,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2027,5,14,3,8,6,6,0,5,3,2,0,3,2,13.0
greendr01,Draymond Green,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,1728,3,7,0,4,1,2,0,8,9,2,1,1,1,12.9
macksh01,Shelvin Mack,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,LOSS,1370,6,13,2,3,1,1,0,3,7,1,0,1,3,12.9
