slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
bealbr01,Bradley Beal,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,2315,12,17,9,12,7,9,1,4,7,2,0,1,2,39.1
bookede01,Devin Booker,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,2469,12,26,3,8,13,18,1,4,13,0,1,7,3,28.1
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,2060,8,15,3,7,9,11,0,3,12,0,0,1,3,27.0
irvinky01,Kyrie Irving,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,2153,12,24,4,10,2,3,2,9,9,1,2,3,2,26.6
goberru01,Rudy Gobert,UTAH JAZZ,HOME,BROOKLYN NETS,WIN,2046,9,12,0,0,5,10,6,11,1,0,3,2,3,23.3
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,LOSS,2267,13,29,3,10,5,5,0,6,5,1,0,1,3,23.0
sextoco01,Collin Sexton,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,LOSS,2302,10,16,4,7,4,5,0,2,4,0,0,0,2,23.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,WIN,1986,10,23,5,12,8,10,1,6,3,2,0,4,1,22.3
paytoel01,Elfrid Payton,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,2209,5,12,2,2,4,6,7,5,16,1,0,4,4,21.8
smartma01,Marcus Smart,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,2054,5,9,2,6,4,4,1,0,9,5,1,1,4,21.8
nurkiju01,Jusuf Nurkic,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,LOSS,2020,10,21,0,1,4,4,7,9,4,2,1,5,3,20.2
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,WIN,2044,9,21,3,8,2,2,2,6,4,3,1,1,1,20.2
loveke01,Kevin Love,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,LOSS,1947,6,15,2,9,8,8,0,12,4,0,0,0,1,19.9
klebima01,Maxi Kleber,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,WIN,1508,5,11,3,6,5,5,5,7,1,0,1,0,0,19.3
oubreke01,Kelly Oubre,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,2596,12,25,2,8,6,7,2,4,2,2,0,4,4,19.3
georgpa01,Paul George,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,LOSS,2266,9,25,4,12,7,11,2,11,2,1,0,2,2,17.8
bartowi01,Will Barton,DENVER NUGGETS,HOME,INDIANA PACERS,WIN,2092,5,10,4,9,3,4,1,5,5,2,0,1,2,17.5
jokicni01,Nikola Jokic,DENVER NUGGETS,HOME,INDIANA PACERS,WIN,2061,11,21,2,7,2,2,3,4,5,0,0,4,3,17.3
osmande01,Cedi Osman,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,LOSS,2199,8,16,6,7,0,0,1,2,4,0,0,0,2,17.3
youngtr01,Trae Young,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,1876,10,17,5,8,1,2,1,3,4,2,0,6,2,17.3
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,WIN,2013,6,14,0,0,9,10,0,8,3,0,1,1,1,17.0
brownja02,Jaylen Brown,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,1585,8,14,3,5,4,6,0,3,2,0,0,0,3,16.7
collijo01,John Collins,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,2036,7,19,0,3,6,9,9,2,6,1,1,3,4,16.5
valanjo01,Jonas Valanciunas,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,1715,10,17,0,0,2,2,2,6,3,0,1,2,4,16.5
satorto01,Tomas Satoransky,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,2270,3,10,0,0,9,9,1,5,7,1,1,1,2,16.2
brunsja01,Jalen Brunson,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,WIN,1585,6,10,2,2,2,2,2,0,7,0,0,1,2,15.9
parsoch01,Chandler Parsons,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,1362,6,10,2,6,2,3,1,5,5,1,0,0,5,15.7
youngth01,Thaddeus Young,INDIANA PACERS,AWAY,DENVER NUGGETS,LOSS,2063,8,15,2,4,0,0,6,4,1,0,0,1,1,15.4
portibo01,Bobby Portis,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1398,7,11,3,5,1,2,2,4,2,1,1,2,3,15.2
couside01,DeMarcus Cousins,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,WIN,1615,5,11,1,3,1,2,1,7,6,2,2,0,4,14.7
jacksjo02,Josh Jackson,PHOENIX SUNS,AWAY,NEW ORLEANS PELICANS,WIN,1979,6,11,2,3,5,6,2,5,3,1,2,4,5,14.7
morrima03,Marcus Morris,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,1956,6,14,2,6,5,6,3,8,0,1,2,3,1,14.7
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,BROOKLYN NETS,WIN,2084,9,21,4,7,2,2,2,4,4,1,0,4,2,14.5
tatumja01,Jayson Tatum,BOSTON CELTICS,HOME,ATLANTA HAWKS,WIN,1956,7,15,0,2,4,4,1,7,4,1,0,2,1,14.5
hardati02,Tim Hardaway,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,WIN,2175,8,18,4,9,2,2,0,4,2,0,0,0,2,14.4
davisan02,Anthony Davis,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,1338,6,11,0,1,3,4,1,10,0,3,1,2,1,14.3
parkeja01,Jabari Parker,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1785,6,13,1,3,7,9,2,9,2,1,1,5,1,14.3
bradlav01,Avery Bradley,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,LOSS,2022,9,17,3,9,0,0,1,1,5,0,0,2,3,14.0
favorde01,Derrick Favors,UTAH JAZZ,HOME,BROOKLYN NETS,WIN,1328,4,10,0,1,5,7,4,8,1,0,3,1,0,13.8
collida01,Darren Collison,INDIANA PACERS,AWAY,DENVER NUGGETS,LOSS,1801,7,12,1,1,2,3,0,2,4,2,0,2,2,13.6
dinwisp01,Spencer Dinwiddie,BROOKLYN NETS,AWAY,UTAH JAZZ,LOSS,1446,7,16,3,6,5,5,0,1,2,1,0,2,2,13.5
finnedo01,Dorian Finney-Smith,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,WIN,2072,5,10,4,6,0,0,0,6,6,0,1,1,3,13.5
millspa01,Paul Millsap,DENVER NUGGETS,HOME,INDIANA PACERS,WIN,2021,5,11,0,3,5,7,1,12,3,0,1,1,4,13.0
milleda01,Darius Miller,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,1962,6,10,4,6,0,2,0,3,4,1,1,2,3,12.8
sabondo01,Domantas Sabonis,INDIANA PACERS,AWAY,DENVER NUGGETS,LOSS,1509,6,10,0,0,4,8,2,5,2,1,0,1,4,12.5
turnemy01,Myles Turner,INDIANA PACERS,AWAY,DENVER NUGGETS,LOSS,2188,3,9,0,4,9,11,0,5,2,2,1,1,3,12.5
randlju01,Julius Randle,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,1918,8,20,0,3,5,8,5,6,5,1,0,5,4,12.2
bryanth01,Thomas Bryant,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1198,1,5,0,2,8,8,3,4,2,0,2,0,3,11.8
poweldw01,Dwight Powell,DALLAS MAVERICKS,HOME,CLEVELAND CAVALIERS,WIN,1762,8,10,0,0,0,1,1,2,2,0,1,1,6,11.8
bazemke01,Kent Bazemore,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,1284,3,6,0,2,6,6,1,0,4,0,0,0,2,11.7
princta02,Taurean Waller-Prince,ATLANTA HAWKS,AWAY,BOSTON CELTICS,LOSS,1860,5,13,3,5,4,4,0,4,2,0,2,1,3,11.7
